ext_id,name,kcal,protein,carb,fat,fiber
740010103,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - GRELHADO(A)/BRASA/CHURRASCO",117.0,24.16,0,1.53,0
740010104,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - ASSADO(A)",117.0,24.16,0,1.53,0
740010105,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - FRITO(A)",139.66,24.16,0,4.09,0
740010106,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - EMPANADO(A)/A MILANESA",155.84,24.62,3.39,4.14,0.14
740010107,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - REFOGADO(A)",139.66,24.16,0,4.09,0
740010108,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO VERMELHO",98.4,19.59,1.08,1.26,0.3
740010109,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO BRANCO",126.19,20.11,1.85,3.71,0.04
740010113,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - ENSOPADO",139.66,24.16,0,4.09,0
740010199,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",117.0,24.16,0,1.53,0
740040102,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - COZIDO(A)",117.0,24.16,0,1.53,0
740040103,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - GRELHADO(A)/BRASA/CHURRASCO",117.0,24.16,0,1.53,0
740040104,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ASSADO(A)",117.0,24.16,0,1.53,0
740040105,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - FRITO(A)",139.66,24.16,0,4.09,0
740040106,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - EMPANADO(A)/A MILANESA",155.84,24.62,3.39,4.14,0.14
740040108,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO VERMELHO",98.4,19.59,1.08,1.26,0.3
740040113,"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ENSOPADO",139.66,24.16,0,4.09,0
744410102,TRACAJA - COZIDO(A),117.0,24.16,0,1.53,0
760010101,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - CRU(A)",117.0,24.16,0,1.53,0
760010102,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - COZIDO(A)",117.0,24.16,0,1.53,0
760010103,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - GRELHADO(A)/BRASA/CHURRASCO",117.0,24.16,0,1.53,0
760010104,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ASSADO(A)",117.0,24.16,0,1.53,0
760010105,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - FRITO(A)",139.66,24.16,0,4.09,0
760010106,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - EMPANADO(A)/A MILANESA",155.84,24.62,3.39,4.14,0.14
760010107,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - REFOGADO(A)",139.66,24.16,0,4.09,0
760010108,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO VERMELHO",98.4,19.59,1.08,1.26,0.3
760010109,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO BRANCO",140.05,20.81,1.47,5.11,0.07
760010113,"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ENSOPADO",139.66,24.16,0,4.09,0
760040102,"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - COZIDO(A)",117.0,24.16,0,1.53,0
760040103,"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - GRELHADO(A)/BRASA/CHURRASCO",117.0,24.16,0,1.53,0
760040104,"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ASSADO(A)",117.0,24.16,0,1.53,0
760040105,"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - FRITO(A)",139.66,24.16,0,4.09,0
760040106,"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - EMPANADO(A)/A MILANESA",155.84,24.62,3.39,4.14,0.14
770010199,AZEITONA,145.0,1.03,3.84,15.32,3.3
770020199,ERVILHA EM CONSERVA,69.0,4.42,12.58,0.35,4.1
770020299,PETIT POIS,69.0,4.42,12.58,0.35,4.1
770040199,MILHO VERDE EM CONSERVA,81.0,2.64,18.8,0.93,1.9
770050199,PALMITO EM CONSERVA,28.0,2.52,4.62,0.62,2.4
