ext_id,name,kcal,protein,carb,fat,fiber
167641,"Oil, spotted seal (Alaska Native)",894.0,0.0,0.0,99.32,0.0
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",161.0,27.31,0.0,5.76,0.0
167643,"Fish, whitefish, eggs (Alaska Native)",104.0,14.66,4.89,2.88,0.0
167644,"Caribou, rump meat, half dried (Alaska Native)",255.0,52.06,0.0,5.23,0.0
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",206.0,35.19,0.0,7.26,0.0
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",141.0,24.5,0.0,4.75,0.0
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",209.0,23.19,0.0,12.95,0.0
167648,"Fish, sheefish, raw (Alaska Native)",115.0,22.25,0.0,2.84,0.0
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",97.0,21.44,0.0,1.3,0
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",270.0,62.38,0.0,2.31,0
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",146.0,32.51,0.0,1.8,0
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",98.0,19.74,0.0,2.1,0.0
167653,"Corn, dried, yellow (Northern Plains Indians)",419.0,14.48,66.27,10.64,20.5
167654,"Smelt, dried (Alaska Native)",386.0,56.19,0.0,17.9,0.0
167655,"Frybread, made with lard (Apache)",309.0,8.38,46.01,10.14,1.7
167656,Corned beef and potatoes in tortilla (Apache),224.0,7.91,29.35,8.31,1.5
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",229.0,13.19,19.28,11.05,1.8
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",219.0,12.56,17.92,10.81,1.5
167659,"Restaurant, Latino, chicken and rice, entree, prepared",174.0,12.02,20.03,5.06,1.2
167660,"Restaurant, Latino, empanadas, beef, prepared",335.0,11.31,31.19,18.37,2.0
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,31.49,9.01,5.8
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",256.0,11.72,22.39,13.25,2.9
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",232.0,11.51,23.02,10.43,2.6
167664,"Restaurant, Latino, tamale, corn",186.0,3.48,26.68,7.21,3.2
167665,"Restaurant, Mexican, spanish rice",185.0,3.28,31.16,5.29,1.2
167666,"Restaurant, Mexican, refried beans",156.0,6.91,16.79,6.77,8.0
167667,"Restaurant, Chinese, egg rolls, assorted",250.0,8.28,27.29,11.94,2.6
167668,"Restaurant, Chinese, fried rice, without meat",174.0,4.05,32.79,2.96,1.1
167669,"CRACKER BARREL, steak fries",255.0,3.26,30.87,13.18,3.5
167670,"CRACKER BARREL, grilled sirloin steak",203.0,31.52,0.0,8.52,0
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",192.0,6.46,15.58,11.51,0.7
167672,"DENNY'S, french fries",282.0,3.41,35.2,14.13,3.5
167673,"DENNY'S, top sirloin steak",182.0,28.9,0.14,7.34,0
167674,"Restaurant, Chinese, lemon chicken",252.0,11.87,20.61,13.55,1.0
167675,"Restaurant, Chinese, general tso's chicken",295.0,12.9,23.99,16.36,0.9
167676,"Restaurant, Chinese, kung pao chicken",129.0,9.76,6.87,6.98,1.5
167677,"Restaurant, Chinese, vegetable lo mein, without meat",121.0,4.77,20.16,2.35,1.3
167678,"Restaurant, Chinese, chicken and vegetables",95.0,8.18,5.38,4.56,0.9
167679,"Restaurant, Chinese, orange chicken",262.0,14.46,22.46,12.68,0.8
167680,"Restaurant, Italian, spaghetti with meat sauce",121.0,5.79,16.4,3.59,1.6
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",218.0,0.45,87.38,0.04,0.1
167682,"Pectin, liquid",11.0,0.0,2.1,0.0,2.1
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",221.0,6.4,26.11,10.1,0.8
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",160.0,1.5,7.0,14.0,0.0
167685,"Bologna, beef and pork, low fat",230.0,11.5,2.6,19.3,0.0
167686,"Milk dessert, frozen, milk-fat free, chocolate",167.0,4.3,37.7,1.0,0.0
167687,"Whipped topping, frozen, low fat",224.0,3.0,23.6,13.1,0.0
167688,"Cream substitute, powdered, light",431.0,1.9,73.4,15.7,0.0
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",529.0,10.16,56.89,29.32,4.0
167690,"Babyfood, apple yogurt dessert, strained",93.0,0.8,19.5,1.6,0.5
167691,"Vegetable oil-butter spread, reduced calorie",465.0,0.0,0.0,53.0,0.0
167692,"Salad dressing, blue or roquefort cheese dressing, light",86.0,2.1,13.2,2.7,0.0
167693,"Salad dressing, french dressing, reduced calorie",227.0,0.4,27.0,13.0,0.0
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",307.0,22.7,0.7,23.0,0.0
167695,"Mayonnaise, made with tofu",322.0,5.95,3.06,31.79,1.1
167696,"Frankfurter, beef, low fat",140.0,12.0,1.6,9.5,0.0
167697,"Milk, buttermilk, fluid, cultured, reduced fat",56.0,4.1,5.3,2.0,0.0
167698,"Pork sausage rice links, brown and serve, cooked",407.0,13.7,2.36,37.63,0.0
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",115.0,1.52,25.6,1.01,1.8
167700,"Salad Dressing, mayonnaise-like, fat-free",84.0,0.2,15.5,2.7,1.9
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",443.0,3.2,71.22,17.5,2.9
167702,"Oil, flaxseed, cold pressed",884.0,0.11,0.0,99.98,0.0
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",74.0,12.4,3.2,1.0,0.6
167704,"Salad dressing, bacon and tomato",326.0,1.8,2.0,35.0,0.2
167705,"Cheese, parmesan, low sodium",451.0,41.6,3.7,29.99,0.0
167706,"Jams, preserves, marmalade, reduced sugar",151.0,0.0,37.6,0.1,1.5
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",227.0,0.25,91.0,0.16,2.2
167708,"Tomato and vegetable juice, low sodium",22.0,0.6,4.59,0.1,0.8
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",221.0,27.4,0.0,12.41,0.0
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",200.0,27.9,0.0,9.8,0.0
167711,"Beverages, Chocolate-flavored drink, whey and milk based",49.0,0.64,10.68,0.4,0.6
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",541.0,37.04,1.43,41.78,0.0
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",162.0,29.3,0.0,5.0,0.0
167714,"Hearts of palm, raw",115.0,2.7,25.61,0.2,1.5
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",339.0,10.93,80.65,2.06,14.7
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",67.0,10.9,3.0,1.0,0.0
167717,Yeast extract spread,185.0,23.88,20.42,0.9,6.5
167718,"Babyfood, juice, pear",43.0,0.0,11.86,0.0,0.1
167719,"Chicken, meatless, breaded, fried",234.0,21.28,8.51,12.77,4.3
167720,"Babyfood, meat, beef with vegetables, toddler",69.0,3.5,8.72,2.1,1.8
167721,"Frozen novelties, juice type, juice with cream",115.0,1.41,24.11,1.41,0.1
167722,Tofu yogurt,94.0,3.5,15.96,1.8,0.2
167723,"Alcoholic beverage, rice (sake)",134.0,0.5,5.0,0.0,0.0
167724,"Millet, puffed",354.0,13.0,80.0,3.4,2.7
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",380.0,10.0,78.0,3.0,8.0
167726,"Babyfood, mixed fruit yogurt, strained",75.0,0.8,16.23,0.8,0.4
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",141.0,5.16,19.88,4.52,0.0
167728,"Babyfood, rice and apples, dry",396.0,6.7,86.89,2.4,3.0
167729,"Babyfood, juice, apple - cherry",47.0,0.2,11.2,0.1,0.3
167730,"Milk, imitation, non-soy",46.0,1.6,5.3,2.0,0.0
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",389.0,6.6,88.5,0.9,2.6
167732,"Babyfood, banana no tapioca, strained",91.0,1.0,21.34,0.2,1.6
167733,"Babyfood, banana apple dessert, strained",68.0,0.3,16.3,0.2,1.0
167734,"Breakfast bar, corn flake crust with fruit",376.0,4.4,72.8,7.5,2.1
167735,"Cheese, mozzarella, low sodium",280.0,27.5,3.1,17.1,0.0
167736,"Mayonnaise dressing, no cholesterol",688.0,0.0,0.3,77.8,0.0
167737,"Oil, corn, peanut, and olive",884.0,0.0,0.0,100.0,0.0
167738,"Pie fillings, blueberry, canned",181.0,0.41,44.38,0.2,2.6
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",287.0,0.08,71.6,0.01,0.0
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",365.0,10.08,74.42,3.0,10.1
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",351.0,1.6,86.04,0.1,0.9
167742,"Mollusks, scallop, (bay and sea), cooked, steamed",111.0,20.54,5.41,0.84,0.0
167743,"Syrup, Cane",269.0,0.0,73.14,0.0,0.0
167744,"Mollusks, snail, raw",90.0,16.1,2.0,1.4,0.0
167745,"Turtle, green, raw",89.0,19.8,0.0,0.5,0.0
167746,"Lemons, raw, without peel",29.0,1.1,9.32,0.3,2.8
167747,"Lemon juice, raw",22.0,0.35,6.9,0.24,0.3
167748,"Lemon juice from concentrate, canned or bottled",17.0,0.45,5.62,0.07,0.7
167749,"Lemon peel, raw",47.0,1.5,16.0,0.3,10.6
167750,"Prickly pears, raw",41.0,0.73,9.57,0.51,3.6
167751,"Plums, dried (prunes), stewed, without added sugar",107.0,0.96,28.08,0.16,3.1
167752,"Plums, dried (prunes), stewed, with added sugar",124.0,1.09,32.88,0.22,3.8
167753,"Prune juice, canned",71.0,0.61,17.45,0.03,1.0
167754,"Pummelo, raw",38.0,0.76,9.62,0.04,1.0
167755,"Raspberries, raw",52.0,1.2,11.94,0.65,6.5
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",91.0,0.83,23.36,0.12,3.3
167757,"Raspberries, frozen, red, sweetened",103.0,0.7,26.16,0.16,4.4
167758,"Rhubarb, raw",21.0,0.9,4.54,0.2,1.8
167759,"Sapodilla, raw",83.0,0.44,19.96,1.1,5.3
167760,"Sapote, mamey, raw",124.0,1.45,32.1,0.46,5.4
167761,"Soursop, raw",66.0,1.0,16.84,0.3,3.3
167762,"Strawberries, raw",32.0,0.67,7.68,0.3,2.0
167763,"Tamarinds, raw",239.0,2.8,62.5,0.6,5.1
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",86.0,0.41,22.36,0.1,1.3
167765,"Watermelon, raw",30.0,0.61,7.55,0.15,0.4
167766,"Maraschino cherries, canned, drained",165.0,0.22,41.97,0.21,3.2
167767,"Pineapple, canned, juice pack, drained",60.0,0.51,15.56,0.11,1.3
167768,"Apricots, canned, heavy syrup, drained",83.0,0.64,21.31,0.11,2.7
167769,"Cherries, sour, canned, water pack, drained",42.0,0.69,10.45,0.21,1.2
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",83.0,0.73,21.07,0.21,2.3
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",46.0,0.1,11.3,0.13,0.2
167772,"Applesauce, canned, unsweetened, with added ascorbic acid",42.0,0.17,11.27,0.1,1.1
167773,"Applesauce, canned, sweetened, with salt",76.0,0.18,19.91,0.18,1.2
167774,"Grapefruit juice, pink, raw",39.0,0.5,9.2,0.1,0
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47.0,0.14,11.54,0.1,0.1
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",63.0,0.39,15.01,0.16,3.1
167777,"Pears, raw, red anjou",62.0,0.33,14.94,0.14,3.0
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",67.0,0.36,16.1,0.09,3.1
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",66.0,0.44,15.79,0.1,3.1
167780,Prune puree,257.0,2.1,65.1,0.2,3.3
167781,Candied fruit,322.0,0.34,82.74,0.07,1.6
167782,"Abiyuch, raw",69.0,1.5,17.6,0.1,5.3
167783,"Rowal, raw",111.0,2.3,23.9,2.0,6.2
167784,"Guava nectar, canned, with added ascorbic acid",63.0,0.09,16.25,0.06,1.0
167785,"Mango nectar, canned",51.0,0.11,13.12,0.06,0.3
167786,"Tamarind nectar, canned",57.0,0.09,14.73,0.12,0.5
167787,"Pomegranate juice, bottled",54.0,0.15,13.13,0.29,0.1
167788,"Nance, canned, syrup, drained",95.0,0.56,22.79,1.28,7.0
167789,"Nance, frozen, unsweetened",73.0,0.66,16.97,1.16,7.5
167790,"Naranjilla (lulo) pulp, frozen, unsweetened",25.0,0.44,5.9,0.22,1.1
167791,Horned melon (Kiwano),44.0,1.78,7.56,1.26,0
167792,Orange Pineapple Juice Blend,51.0,0.41,12.2,0.08,0.2
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",63.0,0.2,15.22,0.18,2.1
167794,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",49.0,0.68,11.54,0.12,0.3
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",63.0,0.42,15.0,0.0,0.0
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",53.0,0.6,12.53,0.26,0.7
167797,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",46.0,0.63,10.9,0.02,0.0
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",56.0,0.63,13.04,0.33,0.6
167799,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",52.0,0.44,12.37,0.3,0.6
167800,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",48.0,0.12,11.49,0.17,0.3
167801,"Lemon juice from concentrate, bottled, CONCORD",24.0,0.4,5.37,0.07,0
167802,"Lemon juice from concentrate, bottled, REAL LEMON",17.0,0.47,5.66,0.07,0.7
167803,"Cranberry sauce, whole, canned, OCEAN SPRAY",158.0,0.75,40.4,0.05,1.2
167804,"Cranberry sauce, jellied, canned, OCEAN SPRAY",160.0,1.05,40.61,0.04,1.0
167805,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",44.0,0.5,10.53,0.1,0.2
167806,Baobab powder,250.0,3.69,79.65,0.47,44.5
167807,"Cherry juice, tart",59.0,0.31,13.7,0.54,0
167808,"Raspberries, puree, seedless",41.0,1.02,7.99,0.87,0.9
167809,"Raspberries, puree, with seeds",55.0,1.1,11.51,0.97,4.3
167810,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",211.0,18.22,0.0,14.79,0.0
167811,"Pork, fresh, backfat, raw",812.0,2.92,0.0,88.69,0.0
167812,"Pork, fresh, belly, raw",518.0,9.34,0.0,53.01,0.0
167813,"Pork, fresh, separable fat, raw",632.0,9.25,0.0,65.7,0.0
167814,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",182.0,20.27,0.0,10.63,0.0
167815,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",209.0,27.03,0.0,10.32,0.0
167816,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",120.0,21.81,0.0,2.93,0.0
167817,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",165.0,28.86,0.0,4.62,0.0
